id,lat,lon,rr,source
1710,28.01425,-82.128864,CSXT/AMTRK,derived
1711,42.504,-92.328,CN,derived
1712,45.645,-122.716,BNSF,derived
1713,38.1422,-122.0238,CFNR/UP/AMTK,derived
1716,35.19283,-101.83086,BNSF,derived
1720,33.529664,-86.840915,BNSF BSRR CSX NS KCS,derived
1721,41.57964,-87.655312,CN/METRA/NS/AMTK/CSX/CP,derived
1725,42.909564,-83.983208,"HESR,CN,GLC",derived
1726,43.635827,-83.838944,"HESR,LSRC",derived
1727,33.5128,-86.8057,"NS, CSX, AMTRAK",derived
1733,42.378574,-83.235677,"CP, CSXY",derived
1734,42.450519,-83.117793,CN,derived
1735,42.565097,-71.762402,"PAS,MBTA",derived
1736,38.60604,-90.311932,BNSF,derived
1738,41.713,-86.878,CSS,derived
1740,40.0571,-76.3253,"NS, AMTRAK",derived
1741,47.6589,-117.38977,"BNSF, UP, Amtrak",derived
1743,47.65971,-117.33622,"UP, STMA",derived
1747,53.921266,-122.746746,CN,derived
1748,53.922261,-122.689974,CN,derived
1750,54.301,-130.352,CN,derived
1760,41.9057,-89.1038,"UP, BNSF",derived
1761,44.175,-88.472,CN,derived
1764,41.449,-83.358,CSXT,derived
1766,42.110499,-83.266377,CN,derived
1767,41.246152,-95.851128,"UP, IAIS, BNSF, KCS, CN, CBEC",derived
1768,41.246152,-95.851128,"BNSF, CBEC",derived
1769,39.775425,-104.967762,"UP, AMTK",derived
1770,39.0,-104.0,"UP,BNSF",derived
1771,38.188,-122.251,CFNR/NWP,derived
1772,38.03623,-122.11914,UP (BNSF),derived
1773,35.194862,-81.845987,CSX,derived
1775,43.158308,-77.578847,CSX AMTRAK,derived
1776,41.736,-88.344,BJRY,derived
1779,31.7528,-106.49085,"BNSF,UP,AMTK",derived
1781,45.4513,-73.6815,"CP,CN",derived
1782,45.4478,-73.6872,CN,derived
1786,33.5451,-86.8351,NS/CSX/BNSF/BSRR/KCS,derived
1787,33.565352,-86.80162,JEFW/NS/BNSF/CSX/KCS/ABCX,derived
1790,36.895,-121.745,UP / SPP,derived
