id,name,source
1629,Mandan Montana-Dakota Utility Spur,scraped
1630,Chicago Union Station,scraped
1631,Chicago Ogilvie Transportation Center,scraped
1632,Chicago Glenn Yard,scraped
1633,Carr,scraped
1637,Franklin,scraped
1643,Carseland,scraped
1644,North Battleford,scraped
1645,Yorkton CPKC,scraped
1646,Saskatoon Chappell Yard,scraped
1647,Bellevue Moorman Yard,scraped
1648,Ceredo,scraped
1650,Moose Jaw,scraped
1657,Hardisty,scraped
1658,South St. Paul,scraped
1661,St. Paul Western Avenue Yard,scraped
1662,Edmonton CN Cloverbar Yard,scraped
1663,Vancouver Intermodal Terminal CN,scraped
1665,Salem Bush Yard,scraped
1667,Clarkfield,scraped
1669,Toronto Union Station,scraped
1670,Loudon,scraped
1671,Minneapolis Shoreham Yard,scraped
1678,Port Allen,scraped
1679,Jacksonville Duval Yard,scraped
1680,Meridian NS Yard,scraped
1681,Milwaukee Muskego Yard,scraped
1682,Milwaukee Mitchell Yard,scraped
1683,North Platte,scraped
1686,El Mirage,scraped
1688,Elizabeth Marine Terminal,scraped
1689,Port Newark,scraped
1691,Chicago Hawthorne Yard,scraped
1693,Clairton Coke Works,scraped
1695,Geismar Yard,scraped
1696,Old Geismar Yard,scraped
1697,Detroit Livernois Yard,scraped
1701,Quesnel,scraped
1702,Vancouver BNSF,scraped
1703,Mitchell BNSF,scraped
1704,Aberdeen BNSF,scraped
1705,Marion,scraped
1706,Sioux Falls BNSF,scraped
1707,Ackerville,scraped
1709,Edmonton CPKC Intermodal,scraped
1711,Waterloo CN Yard,scraped
1712,Port of Vancouver BNSF,scraped
1713,Suisun Fairfield,scraped
1716,Amarillo South Yard BNSF,scraped
1718,Denver Belt Line,scraped
1720,Birmingham East Thomas Yard,scraped
1721,Chicago Markham Yard,scraped
1725,Durand,scraped
1727,Birmingham 37th St. Yard,scraped
1728,Poplar Bluff,scraped
1729,Texarkana UP Yard,scraped
1731,Battle Creek CN Yard,scraped
1733,Detroit Oak Yard,scraped
1734,Detroit Moterm,scraped
1735,Fitchburg,scraped
1736,St. Louis Lindenwood Yard,scraped
1738,Michigan City,scraped
1739,Plymouth North Yard,scraped
1740,Lancaster H. Craig Lewis Yard,scraped
1741,Spokane Erie St. Yard,scraped
1742,Spokane Yardley Yard,scraped
1743,Spokane East Spokane Yard,scraped
1747,Prince George North Yard,scraped
1750,Prince Rupert,scraped
1751,Golden,scraped
1753,Cedar Rapids Beverly Yard,scraped
1755,Loomis,scraped
1760,Rochelle Global 3,scraped
1761,Neenah,scraped
1764,Walbridge,scraped
1765,Detroit Rougemere Yard,scraped
1766,Flat Rock Yard,scraped
1767,Council Bluffs UP,scraped
1768,Council Bluffs Island Park BNSF,scraped
1770,Denver North Yard,scraped
1772,Martinez Ozol Yard,scraped
1773,Mooresboro,scraped
1775,Rochester Goodman St. Yard,scraped
1777,The Dalles,scraped
1779,El Paso Dallas St. Yard,scraped
1780,Montreal Lachine Yard,scraped
1781,Montreal St. Luc Yard,scraped
1782,Montreal Taschereau Yard,scraped
1786,Birmingham ACIPCO,scraped
1787,Birmingham Sloss Coke,scraped
1788,Philadelphia Eastside Yard,scraped
1789,Warm Springs,scraped
1791,Institute,scraped
1794,Tolenas,scraped
1795,Dallas CPKC Yard,scraped
1798,Irving BNSF,scraped
1799,El Paso Alfalfa Yard,scraped
1800,Denver 38th St. Yard,scraped
1801,Virginia Inland Port,scraped
1803,Seattle Interbay,scraped
1805,Birmingham Boyles Yard,scraped
1806,Birmingham Norris Yard,scraped
1808,Emory Gap,scraped
1809,Fort Madison,scraped
1810,Eola,scraped
1811,Cleveland Collinwood Yard,scraped
1814,Ioco,scraped
1815,Sudbury CPKC,scraped
1816,Edmonton Lambton Park Yard,scraped
1817,Kansas City Hawthorn Power Plant CPKC,scraped
1818,Knoxville City Yard,scraped
1819,Greenwood Maxwell Yard,scraped
1820,Salem Pringle Yard UP,scraped
1821,Salem Labish Siding,scraped
1822,Millersburg,scraped
1823,Albany,scraped
1826,Salaberry-de-Valleyfield CN,scraped
1830,Baltimore Locust Point,scraped
1833,Davis,scraped
1834,Chattanooga Wauhatchie CSX,scraped
1835,Wilmington Edgemoor Yard,scraped
1837,Calhoun NS,scraped
1840,Cartersville,scraped
1842,Ogden UP,scraped
1843,Pocatello,scraped
1845,Mesquite,scraped
1846,Dallas Miller Yard,scraped
1847,Ft. Worth Tower 55,scraped
1850,Philadelphia 30th Street Station,scraped
1853,Kalama BNSF,scraped
1854,Vancouver Intermodal Facility CPKC,scraped
1855,Port of Superior BNSF,scraped
1857,Lathrop,scraped
1858,New Orleans Union Passenger Terminal,scraped
1860,Buffalo Seneca Yard,scraped
1863,Hammond Gibson Yard,scraped
1864,Hamilton CN Yard,scraped
1865,Nashville Radnor Yard,scraped
1866,Portland Brooklyn Yard,scraped
1871,Port of Providence,scraped
1873,Boston South Station,scraped
1874,Cheyenne UP,scraped
1876,Spokane Velox,scraped
1877,Portland Terminal 6 BNSF,scraped
1878,Houston Galena Park,scraped
1879,Houston PTRA North Yard,scraped
1880,Houston New South Yard,scraped
1882,Toledo Evans Yard,scraped
1883,Palos,scraped
1884,Camden Pavonia Yard,scraped
1886,Paulsboro,scraped
1887,Decatur NS Yard,scraped
1888,Ft. Worth Davidson Yard,scraped
1889,Kansas City Fairfax,scraped
1890,Baton Rouge CPKC Yard,scraped
1891,Jeffersonville,scraped
1892,Salem,scraped
